OTU,Phylum,UNITE species identification,UNITE species hypotheses (%),Short ID
Otu0003,Ascomycota,Botrytis caroliniana,Botrytis caroliniana (100),SH1189120.08FU
Otu0007,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (100),SH1234026.08FU
Otu0016,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (100),SH1234026.08FU
Otu0020,Ascomycota,Ascochyta rabiei,Didymella exigua (100),SH1174007.08FU
Otu0036,Ascomycota,Podosphaera sp,Podosphaera (100),SH1144824.08FU
Otu0040,Ascomycota,Leptosphaeria sp,Paraphoma radicina (100),SH1193181.08FU
Otu0053,Ascomycota,Clonostachys rosea,Clonostachys rosea (100),SH1155535.08FU
Otu0073,Ascomycota,Gibellulopsis nigrescens,Gibellulopsis piscis (100),SH1234027.08FU
Otu0103,Ascomycota,Stagonosporopsis unclassified,Didymella exigua (100),SH1174007.08FU
Otu0109,Ascomycota,Gibberella tricincta,Gibberella tricincta (100),SH1173588.08FU
Otu0140,Ascomycota,Mastigosporium album,Pezizomycotina (98.64),SH1173291.08FU
Otu0145,Ascomycota,Claviceps sp,Hypocreales (100),SH1234312.08FU
Otu0160,Ascomycota,Ramularia sp,Ramularia cynarae (100),SH1194043.08FU
Otu0169,Ascomycota,Rhinocladium lesnei,Parascedosporium putredinis (100),SH1192748.08FU
Otu0177,Ascomycota,Phaeoacremonium unclassified,Sordariomycetes (98.80),SH1196099.08FU
Otu0183,Ascomycota,Ramularia unclassified,Ramularia cynarae (100),SH1194043.08FU
Otu0230,Ascomycota,Taphrina wiesneri,Taphrina wiesneri (100),SH1153415.08FU
Otu0261,Ascomycota,Taphrina padi,Taphrina padi (100),SH1153419.08FU
Otu0279,Ascomycota,Ramularia unclassified,Ramularia cynarae (100),SH1194043.08FU
Otu0292,Ascomycota,Seimatosporium sp,Xylariales (99.34),SH1237195.08FU
Otu0303,Ascomycota,Trichothecium roseum,Trichothecium roseum (100),SH1181148.08FU
Otu0325,Ascomycota,Gibberella pulicaris,Fusarium venenatum (100),SH1212037.08FU
Otu0355,Ascomycota,Pestalotiopsis sp,Neopestalotiopsis steyaertii (100),SH1177548.08FU
Otu0364,Ascomycota,Cylindrocladiella pseudoparva,Cylindrocladiella variabilis (100),SH1212036.08FU
Otu0380,Chytridiomycota,Powellomyces hirtus,Powellomyces hirtus (100),SH1187133.08FU
Otu0397,Ascomycota,Neodeightonia phoenicum,Neodeightonia palmicola (100),SH1143975.08FU
Otu0408,Ascomycota,Scopulariopsis brumptii,Microascus paisii (100),SH1146112.08FU
Otu0421,Ascomycota,Monographella nivalis,Monographella nivalis (100),SH1179475.08FU
Otu0425,Ascomycota,Gibellulopsis chrysanthemi,Gibellulopsis chrysanthemi (94.67),SH1234048.08FU
Otu0427,Ascomycota,Rhizosphaera kalkhoffii,Scleroconidioma sphagnicola (100),SH1149663.08FU
Otu0451,Ascomycota,Taphrina inositophila,Taphrina inositophila (98.50),SH1153418.08FU
Otu0459,Ascomycota,Plectosphaerella unclassified,Acremonium nepalense (100),SH1234026.08FU
Otu0467,Ascomycota,Gibberella tricincta,Gibberella tricincta (100),SH1173588.08FU
Otu0479,Ascomycota,Taphrina pruni,Taphrina pruni (99.53),SH1153426.08FU
