OTU,Phylum,Order,Family,Genus,Species
Otu000001,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,-
Otu000003,Gammaproteobacteria,Pseudomonadales,Pseudomonadacea e,Pseudomonas,-
Otu000005,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,-
Otu000007,Gammaproteobacteria,Betaproteobacteri ales,Burkholderiaceae,Limnohabitans,-
Otu000010,Actinobacteria,Micrococcales,Micrococcaceae,-,-
Otu000009,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,-
Otu000014,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,-
Otu000016,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,-
Otu000024,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,-
Otu000017,Actinobacteria,Micrococcales,Micrococcaceae,-,-
Otu000018,Actinobacteria,Micrococcales,Micrococcaceae,-,-
Otu000046,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,-
Otu000043,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,-
Otu000060,Actinobacteria,Micrococcales,Micrococcaceae,-,-
Otu000032,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,-
Otu000066,Actinobacteria,Micrococcales,Microbacteriaceae,-,-
Otu000084,Actinobacteria,Micrococcales,Micrococcaceae,-,-
Otu000090,Actinobacteria,Micrococcales,Micrococcaceae,-,-
Otu000120,Actinobacteria,Micrococcales,Micrococcaceae,-,-
Otu000100,Actinobacteria,Micrococcales,-,-,-
Otu000171,Actinobacteria,Micrococcales,Micrococcaceae,-,-
Otu000193,Actinobacteria,Micrococcales,Microbacteriaceae,-,-
Otu000279,Actinobacteria,Micrococcales,Micrococcaceae,-,-
Otu000241,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,-
Otu0001,Ascomycota,Capnodiales,-,-,Capnodiales unclassified
Otu0002,Ascomycota,Helotiales,-,Cadophora,Cadophora luteo-olivacea
Otu0003,Ascomycota,Helotiales,Sclerotiniaceae,Botrytis,Botrytis caroliniana
Otu0007,Ascomycota,Glomerellales,Plectosphaerellace ae,Plectosphaerella,Plectosphaerella cucumerina
Otu0008,Fungi_unclassified,-,-,-,-
Otu0011,Ascomycota,Saccharomycetal es,Saccharomycetace ae,Saccharomyces,Saccharomyces cerevisiae
Otu0017,Ascomycota,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium pullulans
Otu0018,Ascomycota,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium sphaerospermum
Otu0020,Ascomycota,Pleosporales,Didymellaceae,Ascochyta,Ascochyta rabiei
OTU,Phylum,Order,Family,Genus,Species
Otu0022,Basidiomycota,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma victoriae
Otu0025,Ascomycota,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata
Otu0043,Basidiomycota,Holtermanniales,,Holtermanniella,Holtermanniella takashimae
Otu0045,Ascomycota,Pleosporales,Pleosporaceae,Alternaria,-
Otu0099,Ascomycota,Hypocreales,Cordycipitaceae,Lecanicillium,Lecanicillium muscarium
Otu0135,Basidiomycota,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma heimaeyensis
