,BACTERIA - FUNCTIONS,,,OTUs,
,Aromatic compound degradation,,,99,
,Cellulolysis,,,31,
,Chemoheterotrophy,,,2389,
,Chitynolysis,,,3,
,Hydrocarbon degradation,,,41,
,Intracelluar parasites,,,235,
,Iron respiration,,,2,
,Manganese oxidation,,,12,
,Methanol oxidation,,,444,
,Multifunctions,,,231,
,Nitrate reduction,,,40,
,Nitrite oxidation,,,24,
,Nitrogen fixation,,,19,
,Photoautotrophy,,,27,
,Photoheterotrophy,,,8,
,Predatory/exoparasitic,,,233,
,Sulfate respiration,,,27,
,Sulfur compound oxidation,,,82,
,Ureolysis,,,126,
,Xylanolysis,,,2,
,Total assigned functions,,,20,
,FUNGI - FUNCTION,,,,
,Animal endosymbiont-saprotroph,,,1,
,Animal parasite-fungal parasite,,,1,
,Animal pathogen,,,34,
,Arbuscular mycorrhizala,,,6,
,Ectomycorrhizala,,,5,
,Endophytea,,,57,
,Endophyte-plant pathogen,,,7,
,Endophyte-saprotroph,,,9,
,Ericoid mycorrhizal (dark septate endophyte)a,,,22,
,Fungal parasitea,,,13,
,Lichen parasite,,,1,
,Lichenized,,,1,
,Lichenized-saprotroph,,,1,
,Multifunctions,,,55,
,Plant pathogenb,,,136,
,Saprotroph,,,357,
,Total assigned functions,,,16,
